Rock Name,NAK,MGO,FET
cordierite,5,2,2
spinel,0,1,1
sudoite,3,2,2
sapphirine,1,2,2
pyrope,3,3,1
enstatite,1,1,0
corundum,0,0,1
quartz,1,0,0
periclase,0,1,0
